,Lat,Lon,Alt
1681,33.89,-93.6,92.0
1682,33.89,-93.1,77.0
1683,33.89,-92.6,91.0
1684,33.89,-92.1,49.0
1685,33.89,-91.6,49.0
1686,33.89,-91.1,43.0
1687,33.89,-90.6,42.0
1688,33.89,-90.1,43.0
1689,33.89,-89.6,84.0
1690,33.89,-89.1,87.0
1691,33.89,-88.6,68.0
1692,33.89,-88.1,149.0
1693,33.89,-87.6,191.0
1694,33.89,-87.1,150.0
1695,33.89,-86.6,184.0
1696,33.89,-86.1,158.0
1697,33.89,-85.6,284.0
1698,33.89,-85.1,326.0
1699,33.89,-84.6,286.0
1700,33.89,-84.1,280.0
1701,33.89,-83.6,232.0
1702,33.89,-83.1,228.0
1703,33.89,-82.6,129.0
1704,33.89,-82.1,138.0
1705,33.89,-81.6,181.0
1706,33.89,-81.1,0.0
1707,33.89,-80.6,27.0
1708,33.89,-80.1,37.0
1709,33.89,-79.6,21.0
1710,33.89,-79.1,14.0
1711,33.89,-78.6,4.0
1712,33.89,-78.1,0.0
1713,33.89,-77.6,0.0
1714,33.89,-77.1,0.0
1715,33.89,-76.6,0.0
1716,33.89,-76.1,0.0
1717,33.89,-75.6,0.0
1718,33.89,-75.1,0.0
1719,33.89,-74.6,0.0
1720,33.89,-74.1,0.0
1721,33.89,-73.6,0.0
1722,33.89,-73.1,0.0
1723,33.89,-72.6,0.0
1724,33.89,-72.1,0.0
1725,33.89,-71.6,0.0
1726,33.89,-71.1,0.0
1727,33.89,-70.6,0.0
1728,33.89,-70.1,0.0
1729,33.89,-69.6,0.0
1730,33.89,-69.1,0.0
1731,33.89,-68.6,0.0
1732,33.89,-68.1,0.0
1733,33.89,-67.6,0.0
1734,33.89,-67.1,0.0
1735,33.89,-66.6,0.0
1736,33.39,-128.1,0.0
1737,33.39,-127.6,0.0
1738,33.39,-127.1,0.0
1739,33.39,-126.6,0.0
1740,33.39,-126.1,0.0
1741,33.39,-125.6,0.0
1742,33.39,-125.1,0.0
1743,33.39,-124.6,0.0
1744,33.39,-124.1,0.0
1745,33.39,-123.6,0.0
1746,33.39,-123.1,0.0
1747,33.39,-122.6,0.0
1748,33.39,-122.1,0.0
1749,33.39,-121.6,0.0
1750,33.39,-121.1,0.0
1751,33.39,-120.6,0.0
1752,33.39,-120.1,0.0
1753,33.39,-119.6,0.0
1754,33.39,-119.1,0.0
1755,33.39,-118.6,0.0
1756,33.39,-118.1,0.0
1757,33.39,-117.6,0.0
1758,33.39,-117.1,421.0
1759,33.39,-116.6,1626.0
1760,33.39,-116.1,212.0
1761,33.39,-115.6,118.0
1762,33.39,-115.1,377.0
1763,33.39,-114.6,130.0
1764,33.39,-114.1,683.0
1765,33.39,-113.6,0.0
1766,33.39,-113.1,328.0
1767,33.39,-112.6,280.0
1768,33.39,-112.1,333.0
1769,33.39,-111.6,468.0
1770,33.39,-111.1,1564.0
1771,33.39,-110.6,966.0
1772,33.39,-110.1,1492.0
1773,33.39,-109.6,1825.0
1774,33.39,-109.1,1773.0
1775,33.39,-108.6,2580.0
1776,33.39,-108.1,2085.0
1777,33.39,-107.6,2188.0
1778,33.39,-107.1,2012.0
1779,33.39,-106.6,1675.0
1780,33.39,-106.1,1406.0
1781,33.39,-105.6,2119.0
1782,33.39,-105.1,1658.0
1783,33.39,-104.6,1128.0
1784,33.39,-104.1,1155.0
1785,33.39,-103.6,1299.0
1786,33.39,-103.1,1190.0
1787,33.39,-102.6,1101.0
1788,33.39,-102.1,1012.0
1789,33.39,-101.6,931.0
1790,33.39,-101.1,742.0
1791,33.39,-100.6,623.0
1792,33.39,-100.1,499.0
1793,33.39,-99.6,443.0
1794,33.39,-99.1,393.0
1795,33.39,-98.6,349.0
1796,33.39,-98.1,326.0
1797,33.39,-97.6,285.0
1798,33.39,-97.1,183.0
1799,33.39,-96.6,220.0
1800,33.39,-96.1,194.0
1801,33.39,-95.6,133.0
1802,33.39,-95.1,92.0
1803,33.39,-94.6,104.0
1804,33.39,-94.1,92.0
1805,33.39,-93.6,99.0
1806,33.39,-93.1,84.0
1807,33.39,-92.6,29.0
1808,33.39,-92.1,58.0
1809,33.39,-91.6,51.0
1810,33.39,-91.1,39.0
1811,33.39,-90.6,35.0
1812,33.39,-90.1,82.0
1813,33.39,-89.6,90.0
1814,33.39,-89.1,144.0
1815,33.39,-88.6,69.0
1816,33.39,-88.1,65.0
1817,33.39,-87.6,84.0
1818,33.39,-87.1,149.0
1819,33.39,-86.6,296.0
1820,33.39,-86.1,180.0
1821,33.39,-85.6,287.0
1822,33.39,-85.1,279.0
1823,33.39,-84.6,272.0
1824,33.39,-84.1,240.0
1825,33.39,-83.6,180.0
1826,33.39,-83.1,168.0
1827,33.39,-82.6,150.0
1828,33.39,-82.1,0.0
1829,33.39,-81.6,92.0
1830,33.39,-81.1,49.0
1831,33.39,-80.6,29.0
1832,33.39,-80.1,24.0
1833,33.39,-79.6,10.0
1834,33.39,-79.1,0.0
1835,33.39,-78.6,0.0
1836,33.39,-78.1,0.0
1837,33.39,-77.6,0.0
1838,33.39,-77.1,0.0
1839,33.39,-76.6,0.0
1840,33.39,-76.1,0.0
1841,33.39,-75.6,0.0
1842,33.39,-75.1,0.0
1843,33.39,-74.6,0.0
1844,33.39,-74.1,0.0
1845,33.39,-73.6,0.0
1846,33.39,-73.1,0.0
1847,33.39,-72.6,0.0
1848,33.39,-72.1,0.0
1849,33.39,-71.6,0.0
1850,33.39,-71.1,0.0
1851,33.39,-70.6,0.0
1852,33.39,-70.1,0.0
1853,33.39,-69.6,0.0
